--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 451 0 -0.487861000
D/UDP-TIMING(12522): 452 0 -0.489167000
D/UDP-TIMING(12522): 453 0 -0.489956000
D/UDP-TIMING(12522): 454 0 -0.489978000
D/UDP-TIMING(12522): 455 0 -0.489999000
D/UDP-TIMING(12522): 456 0 -0.490563000
D/UDP-TIMING(12522): 457 0 -0.489512000
D/UDP-TIMING(12522): 458 0 -0.489867000
D/UDP-TIMING(12522): 459 0 -0.489761000
D/UDP-TIMING(12522): 460 0 -0.489715000
D/UDP-TIMING(12522): 461 0 -0.488804000
D/UDP-TIMING(12522): 462 0 -0.489369000
D/UDP-TIMING(12522): 463 0 -0.489452000
D/UDP-TIMING(12522): 464 0 -0.481860000
D/UDP-TIMING(12522): 465 0 -0.487941000
D/UDP-TIMING(12522): 466 0 -0.488723000
D/UDP-TIMING(12522): 467 0 -0.490381000
D/UDP-TIMING(12522): 468 0 -0.490575000
D/UDP-TIMING(12522): 469 0 -0.489744000
D/UDP-TIMING(12522): 470 0 -0.488931000
D/UDP-TIMING(12522): 471 0 -0.490099000
D/UDP-TIMING(12522): 472 0 -0.490218000
D/UDP-TIMING(12522): 473 0 -0.490177000
D/UDP-TIMING(12522): 474 0 -0.489578000
D/UDP-TIMING(12522): 475 0 -0.489320000
D/UDP-TIMING(12522): 476 0 -0.488998000
D/UDP-TIMING(12522): 477 0 -0.488070000
D/UDP-TIMING(12522): 478 0 -0.489686000
D/UDP-TIMING(12522): 479 0 -0.489437000
D/UDP-TIMING(12522): 480 0 -0.488575000
D/UDP-TIMING(12522): 481 0 -0.487723000
D/UDP-TIMING(12522): 482 0 -0.489449000
D/UDP-TIMING(12522): 483 0 -0.489963000
D/UDP-TIMING(12522): 484 0 -0.490017000
D/UDP-TIMING(12522): 485 0 -0.490321000
D/UDP-TIMING(12522): 486 0 -0.486988000
D/UDP-TIMING(12522): 487 0 -0.490736000
D/UDP-TIMING(12522): 488 0 -0.489605000
D/UDP-TIMING(12522): 489 0 -0.489688000
D/UDP-TIMING(12522): 490 0 -0.488768000
D/UDP-TIMING(12522): 491 0 -0.489040000
D/UDP-TIMING(12522): 492 0 -0.489803000
D/UDP-TIMING(12522): 493 0 -0.489903000
D/UDP-TIMING(12522): 494 0 -0.489622000
D/UDP-TIMING(12522): 495 0 -0.488758000
D/UDP-TIMING(12522): 496 0 -0.487857000
D/UDP-TIMING(12522): 497 0 -0.485400000
D/UDP-TIMING(12522): 498 0 -0.490091000
D/UDP-TIMING(12522): 499 0 -0.490205000
D/UDP-TIMING(12522): 500 0 -0.489343000
D/UDP-TIMING(12522): 501 0 -0.486114000
D/UDP-TIMING(12522): 502 0 -0.490148000
D/UDP-TIMING(12522): 503 0 -0.481234000
D/UDP-TIMING(12522): 504 0 -0.487028000
D/UDP-TIMING(12522): 505 0 -0.489594000
D/UDP-TIMING(12522): 506 0 -0.490397000
D/UDP-TIMING(12522): 507 0 -0.490601000
D/UDP-TIMING(12522): 508 0 -0.488761000
D/UDP-TIMING(12522): 509 0 -0.488860000
D/UDP-TIMING(12522): 510 0 -0.489458000
D/UDP-TIMING(12522): 511 0 -0.490263000
D/UDP-TIMING(12522): 512 0 -0.487553000
D/UDP-TIMING(12522): 513 0 -0.487909000
D/UDP-TIMING(12522): 514 0 -0.490226000
D/UDP-TIMING(12522): 515 0 -0.486477000
D/UDP-TIMING(12522): 516 0 -0.490089000
D/UDP-TIMING(12522): 517 0 -0.490269000
D/UDP-TIMING(12522): 518 0 -0.489448000
D/UDP-TIMING(12522): 519 0 -0.489948000
D/UDP-TIMING(12522): 520 0 -0.490746000
D/UDP-TIMING(12522): 521 0 -0.490888000
D/UDP-TIMING(12522): 522 0 -0.490051000
D/UDP-TIMING(12522): 523 0 -0.485666000
D/UDP-TIMING(12522): 524 0 -0.489812000
D/UDP-TIMING(12522): 525 0 -0.480982000
D/UDP-TIMING(12522): 526 0 -0.486952000
D/UDP-TIMING(12522): 527 0 -0.481239000
D/UDP-TIMING(12522): 528 0 -0.481360000
D/UDP-TIMING(12522): 529 0 -0.486131000
D/UDP-TIMING(12522): 530 0 -0.490314000
D/UDP-TIMING(12522): 531 0 -0.479822000
D/UDP-TIMING(12522): 532 0 -0.485791000
D/UDP-TIMING(12522): 533 0 -0.489747000
D/UDP-TIMING(12522): 534 0 -0.489879000
D/UDP-TIMING(12522): 535 0 -0.489208000
